respondent_id,full_name,neighborhood,channel,pillar,question_num,question_text,response_text,duration_sec,sentiment,timestamp
NCH-104,Patricia Jackson,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The quilting circle at the senior center represents generations of knowledge passed down. These patterns and techniques tell stories of our history. We should document this before we lose it.,39,negative,2026-01-15 16:33:51
NCH-104,Patricia Jackson,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,The library would be a wonderful location for public art. Also near the bus stops where people wait - give them something beautiful and meaningful to look at.,31,negative,2026-01-15 16:35:20
NCH-104,Patricia Jackson,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,I would attend anything celebrating our heritage. A heritage festival showcasing the contributions of Black families who have been here since the early 1900s would be meaningful.,33,negative,2026-01-15 16:36:42
NCH-104,Patricia Jackson,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Please involve the elders in any cultural planning. We hold the memories and stories that give this community its identity.,22,neutral,2026-01-15 16:37:33
NCH-105,Robert Davis,North College Hill,sms,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,the underground railroad history needs more attention. our area was part of helping people find freedom,,neutral,2026-01-15 18:22:07
NCH-105,Robert Davis,North College Hill,sms,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,hamilton ave for sure. thats our main street,,neutral,2026-01-15 18:24:33
NCH-105,Robert Davis,North College Hill,sms,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,outdoor movies in summer would be cool,,negative,2026-01-15 18:26:15
NCH-105,Robert Davis,North College Hill,sms,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,nope thats it,,neutral,2026-01-15 18:27:02
NCH-106,Michelle Brown,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Revolution Dance Theatre is nearby and represents the best of African American dance tradition. We should partner with them to bring performances and classes to NCH. Also celebrate our local stepping teams.,47,negative,2026-01-16 08:15:33
NCH-106,Michelle Brown,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Stapleton Park just got rededicated - let us add permanent art installations there. Make it a destination for families and visitors.,29,negative,2026-01-16 08:17:02
NCH-106,Michelle Brown,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Dance workshops for young people especially African dance and stepping. These are traditions that build confidence and connect kids to their heritage.,34,negative,2026-01-16 08:18:25
NCH-106,Michelle Brown,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Art and culture are how we tell our story to the next generation. Without investment here we lose our identity as a community.,27,neutral,2026-01-16 08:19:22
NCH-107,William Harris,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The barbershop has always been a cultural institution in Black communities. The conversations and networking and mentorship that happens there - that is culture too. We have several longtime barbers who are community anchors.,58,negative,2026-01-16 11:42:18
NCH-107,William Harris,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Honestly we do not have many blank walls that are not someone's private property. Maybe the city could identify specific locations and get buy-in from property owners first.,44,neutral,2026-01-16 11:44:35
NCH-107,William Harris,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,A men's group that combines mentorship with arts appreciation. Take young men to see plays and museums and concerts. Broaden horizons while building relationships.,41,negative,2026-01-16 11:46:28
NCH-107,William Harris,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Culture is not just paintings and music - it is how we treat each other and how we raise our children and how we honor our elders. Let us not forget that.,35,neutral,2026-01-16 11:48:02
NCH-108,Linda Johnson,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,My grandmother's generation kept vegetable gardens everywhere. That tradition of growing your own food and canning and preserving - that is cultural knowledge we are losing.,38,neutral,2026-01-16 13:55:47
NCH-108,Linda Johnson,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,A sculpture garden would be amazing if we had the space. Maybe something small to start in one of the parks.,25,negative,2026-01-16 13:57:01
NCH-108,Linda Johnson,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Cooking classes featuring traditional recipes from families who have been here for generations. Soul food and holiday traditions and that kind of thing.,32,negative,2026-01-16 13:58:22
NCH-108,Linda Johnson,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,We are a small city but we have big history. The Common Good Alliance needs to help us tell that story.,23,neutral,2026-01-16 13:59:15
NCH-109,Charles Wilson,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,There is not much to preserve because there is not much here. We need to build something first before we can preserve it. Start fresh.,31,negative,2026-01-16 15:28:39
NCH-109,Charles Wilson,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,I do not care about murals when we have potholes and abandoned properties. Fix the basics first.,21,negative,2026-01-16 15:29:48
NCH-109,Charles Wilson,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Job fairs and career training would be more useful than cultural events. People need to work.,19,negative,2026-01-16 15:30:52
NCH-109,Charles Wilson,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,This is low on my priority list. Address economic issues first.,16,negative,2026-01-16 15:31:35
NCH-110,Barbara Anderson,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The Cary Cottage and Clovernook Center represent something special - a piece of American literary history right here. Alice Cary was famous in her time. We should be proud of that connection.,51,negative,2026-01-16 17:05:22
NCH-110,Barbara Anderson,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,The Clovernook area should have historical markers and art celebrating the Cary sisters and the abolitionist history of this region.,37,negative,2026-01-16 17:07:11
NCH-110,Barbara Anderson,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Poetry readings and writing workshops. Honor the Cary sisters' legacy by nurturing the next generation of writers from North College Hill.,40,negative,2026-01-16 17:08:55
NCH-110,Barbara Anderson,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Our history connects the Underground Railroad and abolition and literature all in one place. That is a unique story worth telling.,33,negative,2026-01-16 17:10:18
NCH-111,Michael Taylor,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,We have musicians who play at churches every Sunday who are incredibly talented. Gospel music is our strongest cultural tradition.,35,negative,2026-01-17 09:12:44
NCH-111,Michael Taylor,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Something at the city building would show that leadership values art and culture.,22,neutral,2026-01-17 09:13:58
NCH-111,Michael Taylor,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Gospel concerts. Bring together all the church choirs for one big celebration of sacred music.,26,negative,2026-01-17 09:15:08
NCH-111,Michael Taylor,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,The churches are the backbone of culture here. Any arts plan needs to include and respect the faith community.,28,neutral,2026-01-17 09:16:05
NCH-112,Jennifer Moore,North College Hill,sms,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,juneteenth jam is good. need more like it year round,,negative,2026-01-17 10:33:27
NCH-112,Jennifer Moore,North College Hill,sms,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,the school. kids should see art every day,,negative,2026-01-17 10:35:41
NCH-112,Jennifer Moore,North College Hill,sms,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,free art classes for kids after school,,negative,2026-01-17 10:37:52
NCH-112,Jennifer Moore,North College Hill,sms,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,make it affordable. most families here cant pay much,,neutral,2026-01-17 10:39:08
NCH-113,David Martin,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The old-timers tell stories about how this community was built. Those oral histories are priceless. Someone should be recording them systematically.,41,neutral,2026-01-17 12:22:15
NCH-113,David Martin,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Entrance points to the city. Let people know when they have arrived somewhere special.,23,neutral,2026-01-17 12:23:35
NCH-113,David Martin,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,History walks or trolley tours showing important sites in NCH. Make our history accessible and engaging.,31,negative,2026-01-17 12:24:55
NCH-113,David Martin,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Document everything now while the people who remember are still with us.,20,neutral,2026-01-17 12:25:48
NCH-114,Sandra White,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,My mother was part of a sewing circle that made quilts for every new baby in the neighborhood for decades. Those traditions of caring for each other through handmade gifts - that is what made this community special.,62,negative,2026-01-17 14:45:33
NCH-114,Sandra White,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Inside the community spaces too and not just outdoors. The rec center and the library and places where people gather.,35,neutral,2026-01-17 14:47:22
NCH-114,Sandra White,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Craft fairs featuring local makers. Give people a place to sell their work - quilts and pottery and jewelry and whatever they create.,39,neutral,2026-01-17 14:49:08
NCH-114,Sandra White,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,The women of this community have always been the keepers of culture. Make sure their voices are centered in this work.,33,neutral,2026-01-17 14:50:35
NCH-115,Richard Clark,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,I have lived here 40 years and watched the cultural life slowly disappear. Businesses closed and gathering places shut down. There is not much left to preserve.,44,negative,2026-01-17 16:18:22
NCH-115,Richard Clark,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Fix up the vacant storefronts first. Art on abandoned buildings just highlights the decay.,26,negative,2026-01-17 16:19:40
NCH-115,Richard Clark,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Something that brings back the feeling of community we used to have. Block parties and neighborhood cookouts and just people being together.,38,neutral,2026-01-17 16:21:02
NCH-115,Richard Clark,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,I am skeptical but willing to see if this initiative leads to real change. We have been let down before.,29,negative,2026-01-17 16:22:08
NCH-116,Mary Lewis,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Food truck Fridays showed what is possible when you give people a reason to come together. That spirit of community gathering is the tradition worth preserving.,42,neutral,2026-01-17 18:33:55
NCH-116,Mary Lewis,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,A community garden with art installations. Combine food and beauty and gathering space all in one.,28,neutral,2026-01-17 18:35:20
NCH-116,Mary Lewis,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Expand Food Truck Fridays to include live music and art vendors and activities for kids. Make it a full cultural experience.,35,neutral,2026-01-17 18:36:42
NCH-116,Mary Lewis,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Events that are free or low-cost are the only way to get broad participation. Do not price out the community you are trying to serve.,31,neutral,2026-01-17 18:37:58
NCH-117,Joseph Young,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The high school used to have a strong band program. Music education in schools is cultural preservation. We need to invest in that again.,47,neutral,2026-01-18 08:22:17
NCH-117,Joseph Young,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,The schools definitely. Inspire kids with art in the places they spend most of their time.,32,neutral,2026-01-18 08:24:05
NCH-117,Joseph Young,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Battle of the bands with area high schools. Give young musicians a stage and recognition.,29,neutral,2026-01-18 08:25:48
NCH-117,Joseph Young,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,If we do not invest in youth arts there will not be any local artists to celebrate in the future.,27,neutral,2026-01-18 08:27:02
NCH-118,Karen Hall,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Step teams at the schools and churches are amazing. That precision and teamwork and rhythm - it is a beautiful art form that deserves recognition.,40,neutral,2026-01-18 10:45:33
NCH-118,Karen Hall,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Interactive art that kids can play on. Something in a park that is fun and beautiful at the same time.,30,neutral,2026-01-18 10:46:58
NCH-118,Karen Hall,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Step shows and dance competitions. Let the young people showcase their talents with proper staging and sound.,34,neutral,2026-01-18 10:48:22
NCH-118,Karen Hall,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Youth arts keep kids engaged and out of trouble. That is an investment in safety and community.,26,neutral,2026-01-18 10:49:28
NCH-119,Thomas Adams,North College Hill,sms,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,not aware of any local artists tbh. maybe thats the problem,,negative,2026-01-18 12:15:44
NCH-119,Thomas Adams,North College Hill,sms,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,hamilton ave if anywhere,,neutral,2026-01-18 12:17:22
NCH-119,Thomas Adams,North College Hill,sms,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,movie nights. something simple that families can enjoy,,neutral,2026-01-18 12:19:08
NCH-119,Thomas Adams,North College Hill,sms,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,no,,neutral,2026-01-18 12:19:55
NCH-120,Nancy Scott,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The oral storytelling tradition in Black families. Sitting on porches and passing down family history. That is culture that cannot be replicated.,37,neutral,2026-01-18 14:28:17
NCH-120,Nancy Scott,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Create an art walk connecting several murals at different locations. Give people a reason to walk through the whole neighborhood.,33,neutral,2026-01-18 14:29:42
NCH-120,Nancy Scott,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Storytelling events. Spoken word. Poetry slams. Celebrate the oral tradition in a modern context.,29,neutral,2026-01-18 14:30:58
NCH-120,Nancy Scott,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Culture is how we remember who we are and where we came from. This work matters.,23,positive,2026-01-18 14:31:52
NCH-121,Steven Green,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Man we had cats who could really play back in the day. Jazz musicians and blues players. Most of them passed on now but their music lives in the church bands.,55,neutral,2026-01-18 16:42:08
NCH-121,Steven Green,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Something by Black artists showing Black life. Our experience and our joy and our struggle. Authentic representation.,38,positive,2026-01-18 16:44:22
NCH-121,Steven Green,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Jazz in the park. Just good music on a summer evening. Does not have to be complicated.,31,positive,2026-01-18 16:46:05
NCH-121,Steven Green,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Hire local artists for any murals or projects. Keep the money and the opportunities in the community.,28,neutral,2026-01-18 16:47:22
NCH-122,Betty King,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The tradition of neighbors helping neighbors. When someone was sick food appeared. When someone passed the community showed up. That caring culture is what made NCH special.,48,positive,2026-01-18 18:55:33
NCH-122,Betty King,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Memorial art honoring community members who have passed. A place for reflection and remembrance.,27,neutral,2026-01-18 18:57:05
NCH-122,Betty King,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Heritage days celebrating longtime NCH families. Let us share our stories and honor our ancestors.,32,positive,2026-01-18 18:58:30
NCH-122,Betty King,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,The culture of caring for one another is what we need to revive most of all.,22,positive,2026-01-18 18:59:28
NCH-123,Daniel Wright,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,We do not have much. Other communities have arts districts and cultural centers. We have empty storefronts.,29,negative,2026-01-19 09:12:41
NCH-123,Daniel Wright,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Anywhere that does not look abandoned would be an improvement.,18,negative,2026-01-19 09:13:48
NCH-123,Daniel Wright,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Anything free. Money is tight for most families here.,17,neutral,2026-01-19 09:14:42
NCH-123,Daniel Wright,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Focus resources on economic development. Arts can come later when people are not struggling.,25,negative,2026-01-19 09:15:38
NCH-124,Carol Baker,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The beauty shop has been a cultural institution just like the barbershop. Women sharing stories and supporting each other and building community. My mother ran a shop here for 30 years.,59,positive,2026-01-19 11:25:17
NCH-124,Carol Baker,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Art celebrating Black women would be powerful. Show the mothers and grandmothers and aunties who have held this community together.,42,positive,2026-01-19 11:27:35
NCH-124,Carol Baker,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,A women's expo showcasing female entrepreneurs and artists from NCH. There is so much talent that does not get recognized.,38,positive,2026-01-19 11:29:28
NCH-124,Carol Baker,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Do not forget the contributions of women when you are documenting community history and culture.,29,neutral,2026-01-19 11:30:48
NCH-125,Paul Mitchell,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,I moved here recently so I am still learning the history. Would love opportunities to learn about the community's heritage.,35,neutral,2026-01-19 13:42:22
NCH-125,Paul Mitchell,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Welcome signs with artistic flair at neighborhood entrances. Make a good first impression.,26,positive,2026-01-19 13:43:45
NCH-125,Paul Mitchell,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,New resident orientations that include cultural history. Help newcomers understand and appreciate the community they have joined.,38,positive,2026-01-19 13:45:10
NCH-125,Paul Mitchell,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,I am eager to learn and participate. Include newer residents in these conversations.,24,positive,2026-01-19 13:46:05
NCH-126,Margaret Turner,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Christmas traditions here used to be so special. Luminaries on every street and caroling and decorating contests. The whole neighborhood participated. I would love to see that spirit return.,52,positive,2026-01-19 15:33:28
NCH-126,Margaret Turner,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Seasonal art installations that change throughout the year. Keep things fresh and give people reasons to explore.,34,positive,2026-01-19 15:35:02
NCH-126,Margaret Turner,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,A holiday festival that brings back traditional celebrations. Light displays and hot chocolate and music and community warmth.,36,positive,2026-01-19 15:36:32
NCH-126,Margaret Turner,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Culture includes our traditions and rituals as a community. Those shared experiences bind us together.,28,positive,2026-01-19 15:37:45
NCH-127,George Campbell,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The craft of home repair and building. My grandfather built houses in this neighborhood with his own hands. That knowledge of working with your hands - carpentry and masonry - that is being lost.,61,neutral,2026-01-19 17:48:55
NCH-127,George Campbell,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Public art is nice but I would rather see the existing buildings maintained properly first.,35,negative,2026-01-19 17:50:45
NCH-127,George Campbell,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Trades workshops teaching young people carpentry and plumbing and electrical. Practical skills that are also forms of craftsmanship.,43,neutral,2026-01-19 17:52:38
NCH-127,George Campbell,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Do not separate arts from practical skills. There is artistry in all well-done work.,27,neutral,2026-01-19 17:53:55
NCH-128,Sharon Carter,North College Hill,sms,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,our church choir traditions for sure. been singing gospel in nch for generations,,positive,2026-01-19 19:22:33
NCH-128,Sharon Carter,North College Hill,sms,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,stapleton park would be nice,,neutral,2026-01-19 19:24:15
NCH-128,Sharon Carter,North College Hill,sms,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,gospel festival with all the nch churches,,positive,2026-01-19 19:25:48
NCH-128,Sharon Carter,North College Hill,sms,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,dont forget faith is part of our culture,,neutral,2026-01-19 19:26:42
NCH-129,Kenneth Roberts,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Youth basketball leagues have been a cultural institution here. The rec leagues and church leagues - they have kept generations of young people active and connected.,44,positive,2026-01-20 08:15:22
NCH-129,Kenneth Roberts,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Sports-themed murals at the basketball courts. Celebrate local athletes who have made it and inspire the next generation.,33,positive,2026-01-20 08:16:52
NCH-129,Kenneth Roberts,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Celebrity basketball games featuring NCH alumni who have gone on to success. Bring people back to give back.,36,positive,2026-01-20 08:18:18
NCH-129,Kenneth Roberts,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Sports are culture too. Do not separate athletics from arts in your planning.,23,neutral,2026-01-20 08:19:15
NCH-130,Deborah Phillips,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,The Underground Railroad history of this region is profound. NCH was on the path to freedom. That abolitionist heritage connects to the Cary sisters and everything that came after.,53,positive,2026-01-20 10:42:37
NCH-130,Deborah Phillips,North College Hill,web,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,Underground Railroad memorial art. Show the journey to freedom and the brave people who helped along the way.,35,positive,2026-01-20 10:44:22
NCH-130,Deborah Phillips,North College Hill,web,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Underground Railroad history tours connecting NCH to the broader network of freedom seekers and helpers.,37,positive,2026-01-20 10:45:52
NCH-130,Deborah Phillips,North College Hill,web,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Our history is not just local - it is part of the American story of freedom. Position NCH in that larger narrative.,31,positive,2026-01-20 10:47:08
NCH-131,Mark Evans,North College Hill,phone,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Not much happening here artistically. The talent leaves for opportunities elsewhere. You want to keep artists? Give them space to create and show their work.,50,negative,2026-01-20 12:55:18
NCH-131,Mark Evans,North College Hill,phone,ARTS & CULTURE,2,Where would you like to see public art in the neighborhood?,I would rather see a proper gallery or art space than outdoor murals. Give artists a professional venue.,38,neutral,2026-01-20 12:57:25
NCH-131,Mark Evans,North College Hill,phone,ARTS & CULTURE,3,What cultural events or programs would you attend or want to see offered?,Artist studio space with affordable rent. Create before you celebrate.,24,neutral,2026-01-20 12:58:55
NCH-131,Mark Evans,North College Hill,phone,ARTS & CULTURE,4,Is there anything else you would like to share about arts and culture in North College Hill?,Build infrastructure for arts - space and funding and programs. Everything else follows from that.,28,neutral,2026-01-20 13:00:08
NCH-132,Donna Collins,North College Hill,web,ARTS & CULTURE,1,What local artists or cultural traditions should be celebrated or preserved?,Childrens birthday party traditions at Stapleton Park. Families have celebrated there for decades. Simple joy is culture too.,38,positive,2026-01-20 14:28:44
